0.10672414, -0.00856627, -0.25270321
0.45458099, 0.24544303, -0.46939873
0.149194, -0.24034505, -0.08877832
0.79848589, -0.13399868, -0.02034337
-0.21988333, 0.28633925, -0.11261095
-0.04291109, 0.66053268, -0.09417752
-0.20689492, -0.03540559, 0.12723872
0.81953268, 0.57935165, -0.09589194
-0.15670275, -0.15234559, 0.08486536
-0.20689492, -0.03540559, 0.12723872
0.2384349, -0.33074565, 0.04328476
0.14550204, -0.06796856, 0.02512969
-0.11104456, -0.05752287, 0.06611225
-0.16382674, 0.24996092, 0.07025559
-0.22488949, -0.13800663, 0.30417862
0.5699895, 0.89167866, 0.55136469
